"SPECIES","REGION"
"101","1"
"101","2"
"101","3"
"101","4"
"101","5"
"101","6"
"101","7"
"101","8"
"101","9"
"102","1"
"102","2"
"102","3"
"102","4"
"102","5"
"102","6"
"102","7"
"102","8"
"102","9"
"103","1"
"103","2"
"103","4"
"103","5"
"103","6"
"103","7"
"103","8"
"104","6"
"104","7"
"104","8"
"104","9"
"105","7"
"105","8"
"106","1"
"106","2"
"106","3"
"106","4"
"106","5"
"106","6"
"106","7"
"106","8"
"106","9"
"110","1"
"110","2"
"110","3"
"110","4"
"110","5"
"110","6"
"110","7"
"110","8"
"110","9"
"111","1"
"111","5"
"111","7"
"111","8"
"201","1"
"201","2"
"201","3"
"201","4"
"201","5"
"201","6"
"201","7"
"201","8"
"201","9"
"202","4"
"202","9"
"203","1"
"203","2"
"203","3"
"203","4"
"203","9"
"204","1"
"204","2"
"204","3"
"204","4"
"204","5"
"204","6"
"204","7"
"204","8"
"204","9"
"205","1"
"205","2"
"205","3"
"205","4"
"205","5"
"205","6"
"205","7"
"205","8"
"205","9"
"206","1"
"206","2"
"206","3"
"206","4"
"206","5"
"206","7"
"206","8"
"206","9"
"207","1"
"207","5"
"207","8"
"209","1"
"209","2"
"209","3"
"209","4"
"209","5"
"209","6"
"209","7"
"209","8"
"209","9"
"210","1"
"210","2"
"210","3"
"210","4"
"210","5"
"210","7"
"210","8"
"210","9"
"211","1"
"211","2"
"211","3"
"211","4"
"211","5"
"211","6"
"211","7"
"211","8"
"211","9"
"212","1"
"212","3"
"212","4"
"212","5"
"212","8"
"212","9"
"214","1"
"214","5"
"214","8"
"303","1"
"303","2"
"303","3"
"303","4"
"303","5"
"303","6"
"303","7"
"303","8"
"303","9"
"304","1"
"304","2"
"304","3"
"304","4"
"304","5"
"304","7"
"304","8"
"304","9"
"305","1"
"305","2"
"305","3"
"305","4"
"305","5"
"305","7"
"305","8"
"305","9"
"306","1"
"306","2"
"306","3"
"306","4"
"306","5"
"306","7"
"306","8"
"306","9"
"307","1"
"307","2"
"307","3"
"307","4"
"307","5"
"307","8"
"307","9"
"308","1"
"308","2"
"308","3"
"308","4"
"308","5"
"308","6"
"308","7"
"308","8"
"308","9"
"401","2"
"401","3"
"401","6"
"401","7"
"401","8"
"401","9"
"402","2"
"402","6"
"402","7"
"402","8"
"402","9"
"403","6"
"403","7"
"403","8"
"404","6"
"404","7"
"404","8"
"406","1"
"406","2"
"406","3"
"406","4"
"406","6"
"406","7"
"406","8"
"406","9"
"407","1"
"407","2"
"407","3"
"407","5"
"407","6"
"407","7"
"407","8"
"407","9"
"408","1"
"408","2"
"408","3"
"408","5"
"408","6"
"408","7"
"408","8"
"408","9"
"409","1"
"409","2"
"409","3"
"409","4"
"409","5"
"409","6"
"409","7"
"409","8"
"409","9"
"410","1"
"410","2"
"410","3"
"410","5"
"410","6"
"410","7"
"410","8"
"410","9"
"411","2"
"411","3"
"411","5"
"411","6"
"411","7"
"411","8"
"411","9"
"412","1"
"412","2"
"412","3"
"412","4"
"412","5"
"412","7"
"412","8"
"412","9"
"413","1"
"413","2"
"413","3"
"413","4"
"413","5"
"413","6"
"413","7"
"413","8"
"413","9"
"414","1"
"414","2"
"414","3"
"414","4"
"414","5"
"414","7"
"414","8"
"414","9"
"416","1"
"416","2"
"416","3"
"416","4"
"416","5"
"416","7"
"416","8"
"416","9"
"417","2"
"417","3"
"417","5"
"417","7"
"417","8"
"417","9"
"419","1"
"419","2"
"419","3"
"419","4"
"419","5"
"419","7"
"419","8"
"419","9"
"420","2"
"420","3"
"420","6"
"420","7"
"420","8"
"420","9"
"421","1"
"421","2"
"421","3"
"421","4"
"421","5"
"421","6"
"421","7"
"421","8"
"421","9"
"422","1"
"422","2"
"422","3"
"422","4"
"422","5"
"422","7"
"422","8"
"422","9"
"501","4"
"501","5"
"501","9"
"502","4"
"502","9"
"601","1"
"601","2"
"601","3"
"601","4"
"601","5"
"601","6"
"601","7"
"601","8"
"601","9"
"602","2"
"602","5"
"602","6"
"602","7"
"602","8"
"602","9"
"603","2"
"603","5"
"603","6"
"603","7"
"603","8"
"605","1"
"605","2"
"605","3"
"605","4"
"605","5"
"605","6"
"605","7"
"605","8"
"605","9"
"701","1"
"701","2"
"701","3"
"701","4"
"701","5"
"701","8"
"701","9"
"702","1"
"702","2"
"702","3"
"702","4"
"702","5"
"702","8"
"702","9"
"705","1"
"705","5"
"705","8"
"706","1"
"706","5"
"706","8"
"708","1"
"708","2"
"708","3"
"708","4"
"708","5"
"708","8"
"708","9"
"709","6"
"709","8"
"710","6"
"710","8"
"710","9"
"711","6"
"711","8"
"711","9"
"712","1"
"712","2"
"712","3"
"712","4"
"712","5"
"712","7"
"712","8"
"712","9"
"713","1"
"713","2"
"713","4"
"713","5"
"713","8"
"713","9"
"714","1"
"714","2"
"714","3"
"714","4"
"714","5"
"714","7"
"714","8"
"714","9"
"715","2"
"715","5"
"715","6"
"715","7"
"719","1"
"719","2"
"719","3"
"719","4"
"719","5"
"719","6"
"719","7"
"719","8"
"719","9"
