"State","County"
PR,Aguadilla
PR,Arroyo
NJ,Atlantic 
BH,Bahamas
AL,Baldwin
MA,Barnstable
FL,Bay
SC,Beaufort
SC,Berkeley
FL,Brevard
FL,Broward
PR,Cabo Rojo
GA,Camden
PR,Ceiba
SC,Charleston
FL,Charlotte
GA,Chatham
FL,Citrus
FL,Clay
FL,Collier
FL,Columbia
NC,Dare
FL,Desoto
FL,Dixie
PR,Dorado
FL,Duval
PR,Fajardo
PR,Fajaro
FL,Flagler
FL,Franklin
FL,Gilchrist
FL,Glades
GA,Glynn
PR,Guanica
PR,Guayama
FL,Gulf
TX,Harrison
FL,Hendry
FL,Hernando
FL,Highlands
FL,Hillsborough
FL,Indian River
PR,Isabella
LA,Jefferson Parrish
FL,Lake
FL,Lee
FL,Levy
FL,Liberty
PR,Loiza
PR,Luquillo
FL,Manatee
FL,Marion
FL,Martin
MD,Maryland
PR,Mayaguez
GA,McIntosh
TN,Memphis
FL,Miami/Dade
AL,Mobile
FL,Monroe
FL,Nassau
TX,Nueces
NJ,Ocean
FL,Okaloosa
FL,Okeechobee
FL,Palm Beach
FL,Pasco
FL,Pinellas
PR,Pinnones
NC,Pitt
PR,Ponce
PR,Puerto Rico
PR,Punta Slainas
FL,Putnam
PR,Rio Patillas
PR,Salinas
PR,San Juan
PR,Santa Isabel
PR,Santurse
FL,Sarasota
PR,Sector Los Bravos
FL,Seminole
FL,St. Johns
FL,St. Lucie
FL,Suwannee
FL,Taylor
TX,Texas
PR,Toa Baja
NJ,Union
UU,Unknown
FL,Volusia
AL,Wakulla
