"recno","state_cd","isCountyRestricted","county_name","program_id","region","site_id","control_program_id","control_region","control_site_id","dt_create","dt_update","create_by","update_by","xml_cd","rcf_cd"
1,CA,N,"",MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
2,CA,N,Alameda,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
3,CA,Y,Alpine,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
4,CA,Y,Amador,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
5,CA,Y,Butte,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
6,CA,Y,Calaveras,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
7,CA,Y,Colusa,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
8,CA,N,Contra Costa,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
9,CA,Y,Del Norte,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
10,CA,Y,El Dorado,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
11,CA,Y,Fresno,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
12,CA,Y,Glenn,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
13,CA,Y,Humboldt,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
14,CA,Y,Imperial,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
15,CA,Y,Inyo,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
16,CA,Y,Kern,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
17,CA,Y,Kings,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
18,CA,Y,Lake,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
19,CA,Y,Lassen,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
20,CA,N,Los Angeles,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
21,CA,Y,Madera,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
22,CA,N,Marin,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
23,CA,Y,Mariposa,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
24,CA,Y,Mendocino,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
25,CA,Y,Merced,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
26,CA,Y,Modoc,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
27,CA,Y,Mono,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
28,CA,N,Monterey,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
29,CA,N,Napa,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
30,CA,Y,Nevada,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
31,CA,N,Orange,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
32,CA,Y,Placer,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
33,CA,Y,Plumas,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
34,CA,Y,Riverside,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
35,CA,Y,Sacramento,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
36,CA,N,San Benito,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
37,CA,Y,San Bernardino,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
38,CA,N,San Diego,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
39,CA,N,San Francisco,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
40,CA,Y,San Joaquin,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
41,CA,N,San Luis Obispo,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
42,CA,N,San Mateo,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
43,CA,N,Santa Barbara,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
44,CA,N,Santa Clara,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
45,CA,N,Santa Cruz,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
46,CA,Y,Shasta,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
47,CA,Y,Sierra,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
48,CA,Y,Siskiyou,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
49,CA,N,Solano,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
50,CA,N,Sonoma,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
51,CA,Y,Stanislaus,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
52,CA,Y,Sutter,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
53,CA,Y,Tehama,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
54,CA,Y,Trinity,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
55,CA,Y,Tulare,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
56,CA,Y,Tuolumne,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
57,CA,N,Ventura,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
58,CA,Y,Yolo,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
59,CA,Y,Yuba,MB,"9","01",MB,"9","01",2009-02-20 13:17:13.153,,Toan,"","",V
